gram;vector;code
Monitor VS238H P;[10, 3, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0];0
VS238H P 610839380879;[11, 2, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0];0
P 610839380879 eBay;[12, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0];0
Dell 4647346 UltraSharp;[0, 6, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0];1
4647346 UltraSharp U2410;[1, 5, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0];0
UltraSharp U2410 LCD;[2, 4, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0];0
U2410 LCD Monitor;[3, 3, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0];0
LCD Monitor 24;[4, 2, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0];0
Monitor 24 Vology;[5, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0];0
Philips 273V5LHAB 27inch;[0, 9, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0];1
273V5LHAB 27inch LCD;[1, 8, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0];0
27inch LCD Monitor;[2, 7, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0];0
LCD Monitor Compare;[3, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
Monitor Compare Prices;[4, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
Compare Prices Save;[5, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
Prices Save shopping;[6, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0];0
Save shopping in;[7, 2, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0];0
shopping in Australia;[8, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0];0
ASUS VW22AT MrHighTech;[0, 2, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0];1
VW22AT MrHighTech Shop;[1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0];0
AOC E960SRDA LED;[0, 4, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0];0
E960SRDA LED display;[1, 3, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0];0
LED display MrHighTech;[2, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0];0
display MrHighTech Shop;[3, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0];0
Asus 23 VS238H;[0, 13, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0];1
23 VS238H P;[1, 12, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0];0
VS238H P Black;[2, 11, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0];0
P Black 2ms;[3, 10, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0];0
Black 2ms GTG;[4, 9, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0];0
2ms GTG HDMI;[5, 8, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0];0
GTG HDMI LED;[6, 7, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0];0
HDMI LED Backlight;[7, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
LED Backlight Widescreen;[8, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
Backlight Widescreen LCD;[9, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
Widescreen LCD Monitor;[10, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
LCD Monitor 610839380879;[11, 2, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
Monitor 610839380879 eBay;[12, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0];0
Elo TouchSystems 1715L;[0, 2, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0];1
TouchSystems 1715L MBE;[1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0];0
Dell 17 LCD;[0, 8, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0];0
17 LCD Monitor;[1, 7, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
LCD Monitor 1703FPS;[2, 6, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0];0
Monitor 1703FPS VGA;[3, 5, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0];0
1703FPS VGA Power;[4, 4, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0];0
VGA Power Cables;[5, 3, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0];0
Power Cables 825633788107;[6, 2, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0];0
Cables 825633788107 eBay;[7, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0];0
New Allen Bradley;[0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
Allen Bradley 2711P;[1, 11, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0];1
Bradley 2711P T7C4D1;[2, 10, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0];0
2711P T7C4D1 A;[3, 9, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0];0
T7C4D1 A PanelView;[4, 8, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0];0
A PanelView Plus;[5, 7, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0];0
PanelView Plus 700;[6, 6, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0];0
Plus 700 64MB;[7, 5, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0];0
700 64MB Flash;[8, 4, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0];0
64MB Flash RAM;[9, 3, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0];0
Flash RAM Warranty;[10, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
RAM Warranty eBay;[11, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0];0
242G5DJEB00 2780477 Philips;[0, 7, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0];0
2780477 Philips LCD;[1, 6, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0];1
Philips LCD Monitor;[2, 5, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0];0
LCD Monitor Kingsfield;[3, 4, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0];0
Monitor Kingsfield Computer;[4, 3, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0];0
Kingsfield Computer Products;[5, 2, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0];0
Computer Products Ltd;[6, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0];0
Acer V226HQL 21;[0, 13, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0];1
V226HQL 21 5;[1, 12, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0];0
21 5 LED;[2, 11, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
5 LED LCD;[3, 10, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
LED LCD Monitor;[4, 9, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
LCD Monitor 16;[5, 8, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
Monitor 16 9;[6, 7, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
16 9 8;[7, 6, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
9 8 MS;[8, 5, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0];0
8 MS UM;[9, 4, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0];0
MS UM WV6AA;[10, 3, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0];0
UM WV6AA A01;[11, 2, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0];0
WV6AA A01 eBay;[12, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0];0
SAMSUNG S22D300HY Vology;[0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0];1
Samsung Samsung S22C200B;[0, 5, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0];0
Samsung S22C200B LS22C20KBS;[1, 4, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0];0
S22C200B LS22C20KBS EN;[2, 3, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0];0
LS22C20KBS EN Planet;[3, 2, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0];0
EN Planet Computerit;[4, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0];0
Dell S2440L 24;[0, 15, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0];1
S2440L 24 Widescreen;[1, 14, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0];0
24 Widescreen LED;[2, 13, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0];0
Widescreen LED Monitor;[3, 12, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
LED Monitor 8;[4, 11, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
Monitor 8 000;[5, 10, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
8 000 000;[6, 9, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
000 000 1;[7, 8, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
000 1 6MS;[8, 7, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0];0
1 6MS 1920;[9, 6, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0];0
6MS 1920 x;[10, 5, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0];0
1920 x 1080;[11, 4, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0];0
x 1080 HDMI;[12, 3, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0];0
1080 HDMI 5397063171347;[13, 2, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
HDMI 5397063171347 eBay;[14, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0];0
Apple 17 Studio;[0, 23, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0];0
17 Studio Display;[1, 22, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
Studio Display M7649;[2, 21, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0];0
Display M7649 LCD;[3, 20, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0];1
M7649 LCD Display;[4, 19, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0];0
LCD Display Monitor;[5, 18, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
Display Monitor 1280x1024;[6, 17, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0];0
Monitor 1280x1024 ADC;[7, 16, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0];0
1280x1024 ADC 45038;[8, 15, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0];0
ADC 45038 UK;[9, 14, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0];0
45038 UK Ebay;[10, 13, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0];0
UK Ebay Items;[11, 12, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0];0
Ebay Items Best;[12, 11, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0];0
Items Best Deal;[13, 10, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0];0
Best Deal Items;[14, 9, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0];0
Deal Items Auctions;[15, 8, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0];0
Items Auctions Free;[16, 7, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0];0
Auctions Free Shipping;[17, 6, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0];0
Free Shipping Goods;[18, 5, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0];0
Shipping Goods Services;[19, 4, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0];0
Goods Services Wholesales;[20, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
Services Wholesales Retail;[21, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
Wholesales Retail Trade;[22, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
3M 32 C3266PW;[0, 4, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0];1
32 C3266PW MULTITOUCH;[1, 3, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0];0
C3266PW MULTITOUCH TFT;[2, 2, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0];0
MULTITOUCH TFT 3M;[3, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0];0
NEC EA193MiBK MrHighTech;[0, 2, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0];1
EA193MiBK MrHighTech Shop;[1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0];0
Asus VG278HE 27inch;[0, 9, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0];1
VG278HE 27inch LCD;[1, 8, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0];0
27inch LCD Monitor;[2, 7, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0];0
LCD Monitor Compare;[3, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
Monitor Compare Prices;[4, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
Compare Prices Save;[5, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
Prices Save shopping;[6, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0];0
Save shopping in;[7, 2, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0];0
shopping in Australia;[8, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0];0
Benq XL2420Z MBE;[0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0];1
NEC EA193MiBK MrHighTech;[0, 2, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0];1
EA193MiBK MrHighTech Shop;[1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0];0
Lot 2 Samsung;[0, 10, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0];0
2 Samsung SyncMaster;[1, 9, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0];0
Samsung SyncMaster 740N;[2, 8, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0];1
SyncMaster 740N Flat;[3, 7, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0];0
740N Flat Panel;[4, 6, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0];0
Flat Panel 17;[5, 5, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
Panel 17 LCD;[6, 4, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
17 LCD Monitors;[7, 3, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
LCD Monitors 729507709024;[8, 2, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
Monitors 729507709024 eBay;[9, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0];0
Aoc Professional E2260swda;[0, 31, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0];1
Professional E2260swda 215;[1, 30, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0];0
E2260swda 215 Led;[2, 29, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0];0
215 Led Lcd;[3, 28, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
Led Lcd Monitor;[4, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
Lcd Monitor 169;[5, 26, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
Monitor 169 5;[6, 25, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
169 5 Ms;[7, 24, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0];0
5 Ms Adjustable;[8, 23, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0];0
Ms Adjustable Display;[9, 22, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0];0
Adjustable Display Angle;[10, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
Display Angle 1920;[11, 20, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
Angle 1920 X;[12, 19, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0];0
1920 X 1080;[13, 18, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0];0
X 1080 167;[14, 17, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0];0
1080 167 Million;[15, 16, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
167 Million Colors;[16, 15, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
Million Colors 250;[17, 14, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
Colors 250 CdmÂ²;[18, 13, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
250 CdmÂ² 10001;[19, 12, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
CdmÂ² 10001 Full;[20, 11, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
10001 Full Hd;[21, 10, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0];0
Full Hd Speakers;[22, 9, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0];0
Hd Speakers Dvi;[23, 8, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0];0
Speakers Dvi Vga;[24, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
Dvi Vga Black;[25, 6, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0];0
Vga Black Energy;[26, 5, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0];0
Black Energy Star;[27, 4, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0];0
Energy Star e2260Swda;[28, 3, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0];0
Star e2260Swda SoftwareCityca;[29, 2, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0];0
e2260Swda SoftwareCityca Canada;[30, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0];0
Philips Brilliance C240p4qpyew;[0, 43, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0];1
Brilliance C240p4qpyew 24;[1, 42, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0];0
C240p4qpyew 24 Led;[2, 41, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0];0
24 Led Lcd;[3, 40, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0];0
Led Lcd Monitor;[4, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
Lcd Monitor 1610;[5, 38, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
Monitor 1610 14;[6, 37, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
1610 14 Ms;[7, 36, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0];0
14 Ms Adjustable;[8, 35, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0];0
Ms Adjustable Display;[9, 34, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0];0
Adjustable Display Angle;[10, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
Display Angle 1920;[11, 32, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
Angle 1920 X;[12, 31, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0];0
1920 X 1200;[13, 30, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0];0
X 1200 167;[14, 29, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0];0
1200 167 Million;[15, 28, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
167 Million Colors;[16, 27, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
Million Colors 300;[17, 26, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
Colors 300 Nit;[18, 25, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0];0
300 Nit 10001;[19, 24, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0];0
Nit 10001 Wuxga;[20, 23, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0];0
10001 Wuxga Speakers;[21, 22, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
Wuxga Speakers Dvi;[22, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
Speakers Dvi Vga;[23, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
Dvi Vga Displayport;[24, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
Vga Displayport Usb;[25, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
Displayport Usb 1740;[26, 17, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
Usb 1740 W;[27, 16, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0];0
1740 W White;[28, 15, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0];0
W White Tco;[29, 14, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0];0
White Tco Certified;[30, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
Tco Certified Displays;[31, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
Certified Displays 60;[32, 11, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
Displays 60 Epeat;[33, 10, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
60 Epeat Gold;[34, 9, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
Epeat Gold Energy;[35, 8, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0];0
Gold Energy Star;[36, 7, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0];0
Energy Star 60;[37, 6, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0];0
Star 60 Rohs;[38, 5, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
60 Rohs Weee;[39, 4, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
Rohs Weee C240P4QPYEW27;[40, 3, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0];0
Weee C240P4QPYEW27 SoftwareCityca;[41, 2, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0];0
C240P4QPYEW27 SoftwareCityca Canada;[42, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0];0
OHC24 Shop Monitor;[0, 9, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0];0
Shop Monitor Monitor;[1, 8, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0];0
Monitor Monitor search;[2, 7, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0];0
Monitor search help;[3, 6, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0];0
search help Samsung;[4, 5, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0];0
help Samsung Monitor;[5, 4, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0];0
Samsung Monitor 215Smaster;[6, 3, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0];1
Monitor 215Smaster S22C650D;[7, 2, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0];0
215Smaster S22C650D LS22C65UDSEN;[8, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1];0
Benq Benq EW2440L;[0, 4, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0];0
Benq EW2440L 9HLAGLBQBE;[1, 3, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0];1
EW2440L 9HLAGLBQBE Planet;[2, 2, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0];0
9HLAGLBQBE Planet Computerit;[3, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0];0
Asus VS278Q P;[0, 11, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0];1
VS278Q P 27;[1, 10, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0];0
P 27 LED;[2, 9, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0];0
27 LED LCD;[3, 8, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
LED LCD Monitor;[4, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
LCD Monitor 16;[5, 6, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
Monitor 16 9;[6, 5, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
16 9 1;[7, 4, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
9 1 MS;[8, 3, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0];0
1 MS 711212442273;[9, 2, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0];0
MS 711212442273 eBay;[10, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0];0
60003294 NEC MultiSync;[0, 6, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0];0
NEC MultiSync EA223WM;[1, 5, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0];1
MultiSync EA223WM LED;[2, 4, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0];0
EA223WM LED monitor;[3, 3, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0];0
LED monitor 22;[4, 2, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
monitor 22 Xpcprocom;[5, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
Philips Philips 221B3LPCB;[0, 8, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0];0
Philips 221B3LPCB 02;[1, 7, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0];1
221B3LPCB 02 LED;[2, 6, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0];0
02 LED display;[3, 5, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0];0
LED display 221B3LPCB;[4, 4, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0];0
display 221B3LPCB 02;[5, 3, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0];0
221B3LPCB 02 Planet;[6, 2, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0];0
02 Planet Computerit;[7, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0];0
271P4QPJKEB PHIMON563 Philips;[0, 5, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0];0
PHIMON563 Philips LCD;[1, 4, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0];1
Philips LCD Monitor;[2, 3, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0];0
LCD Monitor JR;[3, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0];0
Monitor JR Linton;[4, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0];0
VG278HE 2516443 ASUSTeK;[0, 6, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0];0
2516443 ASUSTeK COMPUTER;[1, 5, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0];1
ASUSTeK COMPUTER LCD;[2, 4, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0];0
COMPUTER LCD Monitor;[3, 3, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0];0
LCD Monitor JR;[4, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0];0
Monitor JR Linton;[5, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0];0
Samsung S24C450D TFT;[0, 11, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0];1
S24C450D TFT Active;[1, 10, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0];0
TFT Active Matrix;[2, 9, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0];0
Active Matrix 24;[3, 8, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0];0
Matrix 24 inch;[4, 7, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0];0
24 inch Monitor;[5, 6, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0];0
inch Monitor 1920;[6, 5, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0];0
Monitor 1920 x;[7, 4, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0];0
1920 x 1080;[8, 3, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0];0
